mol_index,smiles,exp_logp,rdkit_logp,mw,num_atoms,atom_contribs
3150,Oc1ccc(Br)cc1C(=O)C(=O)c2cc(Br)ccc2O,3.85,3.4858,400.02200000000005,20,"[-0.2893  0.5437  0.1581  0.1581  0.198   0.8456  0.1581  0.136  -0.2783
  0.1129 -0.2783  0.1129  0.136   0.1581  0.198   0.8456  0.1581  0.1581
  0.5437 -0.2893]"
500,O[C@@H](CNCCSCCCNCCc1cccc(c1)C(F)(F)F)c2ccc(O)c3NC(=O)Sc23,1.21,0.9563999999999999,515.623,34,"[-0.2893  0.1193 -0.2035 -0.7096 -0.2035 -0.2035  0.6482 -0.2035  0.1441
 -0.2035 -0.7096 -0.2035 -0.0516  0.136   0.1581  0.1581  0.1581  0.136
  0.1581 -0.0967  0.4202  0.4202  0.4202  0.136   0.1581  0.1581  0.5437
 -0.2893  0.2955 -0.3239 -0.8186  0.1788  0.6237  0.2955]"
725,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,3.7,0.30230000000000007,418.57400000000024,30,"[ 0.1441  0.1441  0.      0.1441  0.1441 -0.2783 -0.1526 -0.0684 -0.2051
  0.1441  0.      0.1441  0.1551  0.1551  0.1551  0.1551  0.      0.1441
  0.      0.1441  0.1441 -0.2051  0.1441 -0.2051 -0.2893  0.1441 -0.2783
 -0.1526 -0.0684  0.    ]"
1266,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc5c(C)nn(C)c5c4,2.7,-1.3756000000000002,462.59800000000024,34,"[ 0.1441  -0.2051  -0.2035  -0.4458  -0.2035  -0.2035  -0.3187  -0.2783
 -0.1526   0.       0.1441   0.1441   0.1441   0.1441   0.      -0.2783
 -0.1526  -0.7096  -0.2051   0.1441   0.1441   0.0017   0.01508  0.4619
  0.1581   0.1581   0.2955   0.136    0.08452 -0.3239  -0.3239  -0.1444
  0.2955   0.1581 ]"
3396,CN(C(=O)C)c1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,2.88,1.9898999999999991,369.42800000000005,28,"[-0.2035 -0.4458 -0.2783 -0.1526  0.1441  0.4619  0.1581  0.1581  0.4619
 -0.5188  0.4619 -0.3239  0.1581  0.2955  0.1581  0.2713  0.1581  0.1581
  0.2955 -0.3239  0.2713  0.1581  0.1581 -0.3239  0.1581  0.1581  0.1581
  0.1581]"
3244,NC(=O)Nc1sc(cc1C(=O)N2CCOCC2)c3ccccc3,2.24,0.013500000000000234,331.397,23,"[-1.019  -0.2783  0.4833 -0.5188  0.4619  0.6237  0.2713  0.1581  0.136
 -0.2783  0.1129 -0.3187 -0.2035 -0.2035 -0.0684 -0.2035 -0.2035  0.2713
  0.1581  0.1581  0.1581  0.1581  0.1581]"
2692,CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C1)C(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N,2.1,-2.8118,546.7160000000001,40,"[-0.2035 -0.3187 -0.2035 -0.3187 -0.2035 -0.2783 -0.1526  0.     -0.0516
  0.136   0.1581  0.1581  0.1581  0.1581  0.1581  0.1441  0.1441 -0.2035
 -0.3187 -0.2035 -0.2783 -0.1526 -0.2051 -0.0516  0.136   0.1581 -0.3239
  0.2955  0.1581  0.1581  0.1581  0.1581  0.2955 -0.7096 -0.2783 -0.1526
 -0.2051  0.1441  0.1441 -1.019 ]"
706,CC(=O)Nc1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,2.91,0.6707999999999998,389.45900000000023,29,"[ 0.1441 -0.2783 -0.1526 -0.5188  0.4619  0.1581  0.1581  0.2713  0.1581
  0.1581  0.2713  0.1581  0.1581 -0.3239  0.4619 -0.5188  0.4619  0.1581
  0.1581  0.4619  0.1581  0.1581 -0.4458 -0.2035 -0.2035 -0.0684 -0.2035
 -0.2035 -0.3239]"
1821,Cc1ccn2c(c(C)nc2c1)c3ccnc(N)n3,2.39,0.20893999999999996,239.282,18,"[ 0.08452  0.136    0.1581   0.1581  -0.3239   0.2713   0.136    0.08452
 -0.3239   0.2955   0.1581   0.2713   0.1581   0.1581  -0.3239   0.4619
 -1.027   -0.3239 ]"
3187,COc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCC[C@@H](N)C3,1.27,-0.6639999999999999,333.4130000000002,23,"[-0.2035 -0.4195  0.5437  0.1581  0.1581  0.1581  0.136   0.264   0.1551
  0.6482 -0.2783  0.4833 -0.7096 -0.2783 -0.1526  0.4619 -0.4458 -0.2035
  0.1441  0.1441 -0.2051 -1.019  -0.2035]"
1855,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F,-1.5,-2.0426,263.2,18,"[-1.027   0.4619 -0.3239 -0.8186  0.1788 -0.3239  0.1581  0.1581  0.1193
 -0.0684 -0.2051 -0.2035 -0.2893 -0.2051 -0.2893 -0.2051  0.4202  0.4202]"
377,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,2.46,0.85882,423.90400000000017,30,"[ 0.1441  -0.2035  -0.7096  -0.2783  -0.1526   0.1441   0.1193   0.1836
 -0.2783   0.136    0.1581   0.1581   0.245    0.6895   0.1581   0.1581
  0.136    0.1581   0.5437  -0.4195  -0.2035   0.1581   0.1581   0.2713
 -0.3239   0.136    0.08452 -0.3239  -0.3239   0.136  ]"
766,COc1ccc2c(C)cc(N[C@H]3CCC[C@@H](C3)NCc4cccc(OC(F)(F)F)c4)nc2c1,3.61,2.33692,459.5120000000001,33,"[-0.2035  -0.4195   0.5437   0.1581   0.1581   0.2955   0.136    0.08452
  0.1581   0.4619  -0.5188  -0.2051   0.1441   0.1441   0.1441  -0.2051
  0.1441  -0.7096  -0.0516   0.136    0.1581   0.1581   0.1581   0.5437
 -0.4195  -0.2051   0.4202   0.4202   0.4202   0.1581  -0.3239   0.2955
  0.1581 ]"
2231,O=C(Nc1cccc2cccnc12)[C@@H]3CC[C@H](CC3)N4C(=O)[C@@H]5[C@@H]6CC[C@@H](C6)[C@@H]5C4=O,3.94,0.3509999999999999,417.5090000000002,31,"[-0.1526 -0.2783 -0.5188  0.4619  0.1581  0.1581  0.1581  0.2955  0.1581
  0.1581  0.1581 -0.3239  0.2955  0.      0.1441  0.1441 -0.2051  0.1441
  0.1441 -0.3187 -0.2783 -0.1526  0.      0.      0.1441  0.1441  0.
  0.1441  0.     -0.2783 -0.1526]"
882,CC(C)NC[C@H](O)COc1cccc2ccccc12,0.99,0.294,259.34900000000005,19,"[ 0.1441 -0.2051  0.1441 -0.7096 -0.2035 -0.2051 -0.2893 -0.2035 -0.4195
  0.5437  0.1581  0.1581  0.1581  0.2955  0.1581  0.1581  0.1581  0.1581
  0.2955]"
2265,COc1cc2ncnc(Nc3cc(NC(=O)c4cccc(c4)N5CCOCC5)ccc3C)c2cc1OC,3.6,1.0385199999999994,499.5710000000004,37,"[-0.2035  -0.4195   0.5437   0.1581   0.2955  -0.3239   0.1581  -0.3239
  0.4619  -0.5188   0.4619   0.1581   0.4619  -0.5188  -0.2783   0.1129
  0.136    0.1581   0.1581   0.1581   0.4619   0.1581  -0.4458  -0.2035
 -0.2035  -0.0684  -0.2035  -0.2035   0.1581   0.1581   0.136    0.08452
  0.2955   0.1581   0.5437  -0.4195  -0.2035 ]"
726,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccccc3Cl,1.1,0.6052000000000001,451.35000000000025,30,"[ 0.1441 -0.2051 -0.2035 -0.3187 -0.0516  0.136   0.1581  0.245   0.6895
  0.1581  0.1581  0.5437 -0.4195 -0.2035 -0.2783 -0.1526 -0.2893 -0.2035
 -0.2035 -0.3187 -0.2783 -0.1526 -0.0516  0.136   0.1581  0.1581  0.1581
  0.1581  0.245   0.6895]"
4155,CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c2cc3ccccc3[nH]2,3.4,-0.16820000000000007,335.40700000000004,25,"[-0.2035 -0.3187 -0.2035 -0.2783 -0.1526 -0.2051 -0.0516  0.136   0.1581
  0.1581  0.1581  0.1581  0.1581 -0.7096 -0.2783  0.1129  0.136   0.1581
  0.2955  0.1581  0.1581  0.1581  0.1581  0.2955 -0.3239]"
1949,OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,1.0,2.1689999999999996,282.221,20,"[-0.2893 -0.2783  0.1129  0.136   0.1581  0.1581  0.1581 -0.3239  0.4619
 -0.5188  0.4619  0.1581  0.1581  0.1581  0.136   0.1581 -0.0967  0.4202
  0.4202  0.4202]"
2224,COC(=O)c1ccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)cc1,3.2,0.32309999999999994,345.35100000000006,25,"[-0.2035 -0.0684 -0.2783  0.1129  0.136   0.1581  0.1581  0.4619 -0.5188
 -0.2783  0.1129  0.136   0.1581  0.5437 -0.4195 -0.2035  0.5437 -0.4195
 -0.2035  0.5437 -0.4195 -0.2035  0.1581  0.1581  0.1581]"
557,CCCSc1nc(NC[C@@H]2CC[C@H](CC2)C(=O)O)ccc1C(=O)NC3CCCCC3,2.61,0.28670000000000034,433.6180000000002,30,"[ 0.1441  0.1441 -0.2035  0.6482  0.1893 -0.3239  0.4619 -0.5188 -0.2035
  0.      0.1441  0.1441  0.      0.1441  0.1441 -0.2783 -0.1526 -0.2893
  0.1581  0.1581  0.136  -0.2783  0.1129 -0.7096 -0.2051  0.1441  0.1441
  0.1441  0.1441  0.1441]"
3642,OC1(CNC(=O)c2cc(ccc2Cl)N3N=CC(=O)NC3=O)CCCCCC1,0.26,-0.9854000000000002,392.8430000000003,27,"[-0.2893 -0.2051 -0.2035 -0.7096 -0.2783  0.1129  0.136   0.1581  0.2713
  0.1581  0.1581  0.245   0.6895 -0.3239 -0.3239  0.1581 -0.8186  0.1788
 -0.3239 -0.8186  0.1788  0.1441  0.1441  0.1441  0.1441  0.1441  0.1441]"
931,Oc1ccc(Nc2nc(cs2)c3ccc(cc3)C#N)cc1,4.1,3.0774800000000004,293.35100000000006,21,"[-0.2893   0.5437   0.1581   0.1581   0.4619  -0.5188   0.4619  -0.3239
  0.2713   0.1581   0.6237   0.2713   0.1581   0.1581   0.136    0.1581
  0.1581   0.0017   0.01508  0.1581   0.1581 ]"
2382,Oc1cc(O)c2C(=O)C=C(Oc2c1)c3ccccc3,3.83,2.4226,254.24099999999999,19,"[-0.2893  0.5437  0.1581  0.5437 -0.2893  0.2955 -0.8186  0.1788  0.1581
  0.2713  0.1552  0.2955  0.1581  0.2713  0.1581  0.1581  0.1581  0.1581
  0.1581]"
24,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,1.2,1.0504200000000001,255.361,19,"[-0.2035  -0.7096  -0.2035   0.1441   0.1193  -0.4195   0.5437   0.1581
  0.1581   0.1581   0.1581   0.136    0.08452  0.136    0.1581   0.1581
  0.1581   0.1581   0.1581 ]"
434,CC(C)n1c(C)ncc1c2ccnc(Nc3ccccc3)n2,3.58,1.5448199999999994,293.374,22,"[ 0.1441   0.1193   0.1441  -0.3239   0.136    0.08452 -0.3239   0.1581
  0.2713   0.2713   0.1581   0.1581  -0.3239   0.4619  -0.5188   0.4619
  0.1581   0.1581   0.1581   0.1581   0.1581  -0.3239 ]"
663,CCn1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)NC)n2,2.53,0.12921999999999995,336.39900000000006,25,"[ 0.1441  -0.0516  -0.3239   0.136    0.08452 -0.3239   0.1581   0.2713
  0.2713   0.1581   0.1581  -0.3239   0.4619  -0.5188   0.4619   0.1581
  0.1581   0.136    0.1581   0.1581  -0.2783   0.1129  -0.7096  -0.2035
 -0.3239 ]"
7,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,0.34,1.3533199999999994,502.3980000000002,34,"[-0.2035  -0.5188   0.4619   0.1581   0.1581   0.1581   0.136   -0.0516
 -0.2035  -0.4195   0.5437   0.1581   0.1581   0.136   -0.0516  -0.2051
 -0.7096  -0.2783   0.1129   0.136    0.245    0.6895   0.1581   0.1581
  0.1581   0.245    0.6895  -0.2783  -0.1526  -0.2893   0.1581   0.136
  0.08452 -0.3239 ]"
3789,CN(C)c1cccc(c1)C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cccnc3,3.01,1.07222,374.444,28,"[-0.2035  -0.4458  -0.2035   0.4619   0.1581   0.1581   0.1581   0.136
  0.1581  -0.2783   0.1129  -0.5188   0.4619   0.1581   0.1581   0.136
  0.08452  0.136    0.1581  -0.2783   0.1129  -0.5188   0.4619   0.1581
  0.1581   0.1581  -0.3239   0.1581 ]"
3965,Brc1ccc(cc1)C2NC(=O)c3ccccc3N2,2.68,1.7677999999999998,303.159,18,"[ 0.8456  0.198   0.1581  0.1581  0.136   0.1581  0.1581  0.1193 -0.7096
 -0.2783  0.1129  0.136   0.1581  0.1581  0.1581  0.1581  0.4619 -0.5188]"
3310,CCc1cc(O)c(Oc2ccc(cc2F)C(=O)N)cc1F,2.87,1.7333000000000003,293.26899999999995,21,"[ 0.1441 -0.0516  0.136   0.1581  0.5437 -0.2893  0.5437 -0.4195  0.5437
  0.1581  0.1581  0.136   0.1581  0.      0.4202 -0.2783  0.1129 -1.019
  0.1581  0.      0.4202]"
3772,CC1=C2C(=CC(=O)N1Cc3ccccn3)NN(C2=O)c4ccccc4Cl,0.2,0.9494199999999998,366.8080000000001,26,"[ 0.08452  0.136    0.2955   0.2955   0.1581  -0.8186   0.1788  -0.3239
 -0.0516   0.136    0.1581   0.1581   0.1581   0.1581  -0.3239  -0.3239
 -0.3239  -0.8186   0.1788   0.2713   0.1581   0.1581   0.1581   0.1581
  0.245    0.6895 ]"
2994,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(COC3=O)C(O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,0.91,-1.425300000000001,588.5620000000001,42,"[-0.2035 -0.4195  0.5437  0.1581  0.136   0.1581  0.5437 -0.4195 -0.2035
  0.5437 -0.2893  0.1193  0.      0.     -0.2035 -0.0684 -0.2783 -0.1526
  0.1193 -0.0684 -0.2051 -0.0684 -0.2051 -0.2035 -0.0684 -0.2051  0.1441
 -0.0684 -0.2051 -0.2051 -0.2893 -0.2051 -0.2893  0.136   0.1581  0.5437
 -0.4195 -0.2035 -0.4195  0.5437  0.1581  0.136 ]"
2901,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)C(=O)N4CCN(C)CC4)n2,2.1,-0.2975800000000003,419.5330000000003,31,"[ 0.1441   0.1193   0.1441  -0.3239   0.136    0.08452 -0.3239   0.1581
  0.2713   0.2713   0.1581   0.1581  -0.3239   0.4619  -0.5188   0.4619
  0.1581   0.1581   0.136    0.1581   0.1581  -0.2783   0.1129  -0.3187
 -0.2035  -0.2035  -0.3187  -0.2035  -0.2035  -0.2035  -0.3239 ]"
3392,CC(C)(C)NC(=O)C(N(Cc1occc1)C(=O)c2ccc([nH]2)c3ccccc3)c4ccncc4,4.13,1.3417,456.5460000000001,34,"[ 0.1441 -0.2051  0.1441  0.1441 -0.7096 -0.2783 -0.1526  0.1193 -0.3187
 -0.0516  0.136   0.1552  0.1581  0.1581  0.1581 -0.2783  0.1129  0.136
  0.1581  0.1581  0.2713 -0.3239  0.2713  0.1581  0.1581  0.1581  0.1581
  0.1581  0.136   0.1581  0.1581 -0.3239  0.1581  0.1581]"
3487,CS(=O)(=O)c1ccc(cc1)c2cc(ccc2OCC(=O)O)C(F)(F)F,-0.87,1.4652999999999996,374.33600000000007,25,"[-0.2035 -0.0024 -0.3339 -0.3339  0.1893  0.1581  0.1581  0.2713  0.1581
  0.1581  0.2713  0.1581  0.136   0.1581  0.1581  0.5437 -0.4195 -0.2035
 -0.2783 -0.1526 -0.2893 -0.0967  0.4202  0.4202  0.4202]"
2301,COc1cc2nc(Nc3ccc(cc3)[C@@H](C)NC(=O)C)ncc2cc1c4ccncc4,3.11,1.6296999999999993,413.48100000000017,31,"[-0.2035 -0.4195  0.5437  0.1581  0.2955 -0.3239  0.4619 -0.5188  0.4619
  0.1581  0.1581  0.136   0.1581  0.1581  0.1193  0.1441 -0.7096 -0.2783
 -0.1526  0.1441 -0.3239  0.1581  0.2955  0.1581  0.2713  0.2713  0.1581
  0.1581 -0.3239  0.1581  0.1581]"
2525,CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(F)cc4)c23)cc1,4.28,2.4541999999999997,390.4180000000001,29,"[ 0.1441 -0.2783 -0.1526 -0.5188  0.4619  0.1581  0.1581  0.136  -0.0516
 -0.5188  0.4619 -0.3239 -0.3239  0.2955  0.1581  0.1581  0.1581  0.5437
 -0.4195  0.5437  0.1581  0.1581  0.      0.4202  0.1581  0.1581  0.2955
  0.1581  0.1581]"
3736,CN(C)CCC=C1c2ccccc2COc3ccccc13,2.15,1.3794,279.383,21,"[-0.2035 -0.3187 -0.2035 -0.2035  0.1441  0.1551  0.264   0.136   0.1581
  0.1581  0.1581  0.1581  0.136  -0.0516 -0.4195  0.5437  0.1581  0.1581
  0.1581  0.1581  0.136 ]"
105,O[C@@H](CNC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1)COc3cccc(c3)C#N,3.09,1.08348,434.36700000000025,29,"[-0.2893  -0.2051  -0.2035  -0.7096  -0.2051   0.1441  -0.2035  -0.3187
 -0.0516   0.136    0.1581   0.1581   0.245    0.6895   0.245    0.6895
  0.1581  -0.2035   0.1441  -0.2035  -0.4195   0.5437   0.1581   0.1581
  0.1581   0.136    0.1581   0.0017   0.01508]"
1511,CC1=CC2=NNC(=O)N2c3cc(ccc13)c4ccc[nH]4,3.29,0.8209199999999999,264.288,20,"[ 0.08452  0.136    0.1581   0.2955  -0.3239  -0.3239  -0.8186   0.1788
 -0.3239   0.2955   0.1581   0.2713   0.1581   0.1581   0.2955   0.2713
  0.1581   0.1581   0.1581  -0.3239 ]"
248,O=C1NC=Nc2[nH]ncc12,-0.42,-1.0282000000000004,136.114,10,"[ 0.1788 -0.8186 -0.3239  0.1581 -0.3239  0.2955 -0.3239 -0.3239  0.1581
  0.2955]"
1903,CCOC(=O)c1ccc(N)cc1,1.83,-0.08990000000000004,165.19199999999998,12,"[ 0.1441 -0.2035 -0.0684 -0.2783  0.1129  0.136   0.1581  0.1581  0.4619
 -1.027   0.1581  0.1581]"
3598,O=C1Nc2cc(ccc2C1c3ncnc4cc(OCCCN5CCOCC5)ccc34)C#N,2.99,-0.23362000000000027,429.4800000000003,32,"[-0.1526  -0.2783  -0.5188   0.4619   0.1581   0.136    0.1581   0.1581
  0.136    0.1193   0.136   -0.3239   0.1581  -0.3239   0.2955   0.1581
  0.5437  -0.4195  -0.2035   0.1441  -0.2035  -0.3187  -0.2035  -0.2035
 -0.0684  -0.2035  -0.2035   0.1581   0.1581   0.2955   0.0017   0.01508]"
2742,Nc1ccccc1NC(=O)c2ccccn2,1.0,0.2895000000000001,213.24,16,"[-1.027   0.4619  0.1581  0.1581  0.1581  0.1581  0.4619 -0.5188 -0.2783
  0.1129  0.136   0.1581  0.1581  0.1581  0.1581 -0.3239]"
2709,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3NC(=O)C=Cc13,3.36,0.9216,378.40400000000005,26,"[ 0.1441 -0.2051 -0.2035 -0.2893 -0.5188  0.4619 -0.3239  0.1893  0.6482
 -0.0516  0.136   0.1581  0.1581  0.1581  0.      0.4202  0.      0.4202
 -0.3239  0.2955 -0.3239 -0.8186  0.1788  0.1581  0.1581  0.2955]"
2111,COc1ccc2c(c1)[nH]c3c(C)nccc23,2.9,1.46592,212.25199999999998,16,"[-0.2035  -0.4195   0.5437   0.1581   0.1581   0.2955   0.2955   0.1581
 -0.3239   0.2955   0.136    0.08452 -0.3239   0.1581   0.1581   0.2955 ]"
2417,COc1ccc(CC(=O)NC(N\C(=N\C#N)\Nc2ccccc2C)C(C)(C)C)cc1OC,2.48,-0.5047000000000004,437.54400000000027,32,"[-0.2035  -0.4195   0.5437   0.1581   0.1581   0.136   -0.0516  -0.2783
 -0.1526  -0.7096  -0.2051  -0.7096  -0.2783   0.1836   0.0017   0.01508
 -0.5188   0.4619   0.1581   0.1581   0.1581   0.1581   0.136    0.08452
  0.       0.1441   0.1441   0.1441   0.1581   0.5437  -0.4195  -0.2035 ]"
2158,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4ccc(F)cc34)cc2OC)cn1,3.88,1.8982,420.44400000000013,31,"[ 0.1441 -0.0516 -0.3239  0.1581  0.4619 -0.5188 -0.2783 -0.1526 -0.0516
  0.136   0.1581  0.1581  0.5437 -0.4195  0.5437  0.1581  0.1581 -0.3239
  0.2955  0.1581  0.1581  0.      0.4202  0.1581  0.2955  0.1581  0.5437
 -0.4195 -0.2035  0.1581 -0.3239]"
2171,CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc2cccc(C)c2,0.3,-0.20368000000000003,348.42800000000005,24,"[ 0.1441  -0.2051   0.1441  -0.7096  -0.2783   0.4833  -0.7096  -0.0024
 -0.3339  -0.3339   0.1893   0.1581  -0.3239   0.1581   0.1581   0.4619
 -0.5188   0.4619   0.1581   0.1581   0.1581   0.136    0.08452  0.1581 ]"
2038,CNc1ncc(s1)C(=O)c2ccccc2,2.36,1.0946,218.281,15,"[-0.2035 -0.5188  0.4619 -0.3239  0.1581  0.136   0.6237 -0.2783  0.1129
  0.136   0.1581  0.1581  0.1581  0.1581  0.1581]"
1877,Nc1ncnc2oc(c3cocc3)c(c4occc4)c12,3.1,2.0355999999999996,267.244,20,"[-1.027   0.4619 -0.3239  0.1581 -0.3239  0.2955  0.1552  0.2713  0.2713
  0.1581  0.1552  0.1581  0.1581  0.2713  0.2713  0.1552  0.1581  0.1581
  0.1581  0.2955]"
653,CN(C)c1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1.7,0.43830000000000013,555.5280000000004,36,"[-0.2035 -0.4458 -0.2035  0.4619  0.1581  0.1581  0.1893  0.1581  0.1581
 -0.0024 -0.3339 -0.3339 -0.7096 -0.2783  0.4833 -0.3187 -0.2035  0.1441
 -0.2051  0.1441 -0.2035 -0.3187 -0.2035  0.1441 -0.2051  0.1441 -0.2035
 -0.4195  0.5437  0.1581  0.1581  0.245   0.6895  0.245   0.6895  0.1581]"
292,CC1CN(C(=O)c2ccccc2)c3ccccc3NC1=O,1.73,0.8624000000000003,280.32700000000006,21,"[ 0.1441  0.     -0.2035 -0.4458 -0.2783  0.1129  0.136   0.1581  0.1581
  0.1581  0.1581  0.1581  0.4619  0.1581  0.1581  0.1581  0.1581  0.4619
 -0.5188 -0.2783 -0.1526]"
1913,Cc1cc(CNc2ncc(Cl)c(Nc3cc(C)[nH]n3)n2)on1,2.68,0.8180399999999994,319.75600000000003,22,"[ 0.08452  0.136    0.1581   0.136   -0.0516  -0.5188   0.4619  -0.3239
  0.1581   0.245    0.6895   0.4619  -0.5188   0.4619   0.1581   0.136
  0.08452 -0.3239  -0.3239  -0.3239   0.1552  -0.3239 ]"
